## Thu Nov  4 09:44:55 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
1 20 1000 5 52.31779 126.1679 128.8958 4.917193e-06
1 20 1000 5 45.01533 118.934 121.6323 4.547062e-10
1 20 1000 5 51.12215 124.9936 127.3404 1.197074e-09
1 20 1000 5 70.55898 143.7761 145.7742 0.006588723
1 20 1000 5 49.15493 123.0066 125.5381 1.961304e-06
1 20 1000 5 71.55081 142.0051 143.996 0.8154873
1 20 1000 5 47.25305 121.1169 123.4559 2.386583e-05
1 20 1000 5 45.13747 118.9638 121.4351 7.840989e-10
1 20 1000 5 51.07194 124.9229 127.3927 2.347274e-06
1 20 1000 5 86.80353 156.6659 157.6478 2.515886e-06
1 20 1000 5 48.24718 122.1602 124.4565 8.593602e-09
1 20 1000 5 47.29991 121.1526 123.4789 5.174396e-07
1 20 1000 5 51.07031 124.9439 127.4134 0.000288635
1 20 1000 5 48.186 122.0493 124.5883 2.017091e-05
1 20 1000 5 51.3234 125.1703 127.8284 1.78311e-09
1 20 1000 5 50.14906 123.9974 126.4693 2.394063e-09
1 20 1000 5 45.5208 119.4365 122.1521 0.08091673
1 20 1000 5 50.10856 123.85 126.553 3.992988e-06
1 20 1000 5 48.7331 122.6387 125.161 0.001815005
1 20 1000 5 45.33377 119.1638 121.7885 5.802835e-11
1 20 1000 5 45.96229 119.8576 122.3538 0.04992177
1 20 1000 5 46.29131 120.1981 122.8154 1.251241e-06
1 20 1000 5 47.54262 121.4804 124.1186 0.0006006351
1 20 1000 5 47.15059 121.0622 123.3994 0.001122527
1 20 1000 5 53.93133 127.7915 130.0688 7.449615e-21
1 20 1000 5 47.95656 121.8615 124.1844 1.011421e-05
1 20 1000 5 50.75517 124.6455 127.1058 0.05527085
1 20 1000 5 48.52609 122.4505 125.0014 3.555761e-05
1 20 1000 5 78.92903 150.4843 152.598 0.005840217
1 20 1000 5 144.6311 206.4837 206.6251 0.764216
1 20 1000 5 49.0383 122.9082 125.1201 2.32951e-12
1 20 1000 5 50.67997 124.4888 127.0362 3.705718e-10
1 20 1000 5 45.83199 119.5952 121.8411 0.2339781
1 20 1000 5 50.80577 124.6582 127.0786 4.42226e-06
1 20 1000 5 147.7241 193.7998 193.4018 4.965664e-07
1 20 1000 5 49.51303 123.4243 126.3584 0.01799568
1 20 1000 5 44.89276 118.8349 121.1905 4.18425e-06
1 20 1000 5 44.45212 118.3597 120.9443 0.00345918
1 20 1000 5 45.97428 119.9225 122.2986 0.04682866
1 20 1000 5 49.6831 123.4507 125.9557 1.105995e-05
1 20 1000 5 50.74675 124.6262 126.8416 1.491237e-08
1 20 1000 5 44.90991 118.8326 121.6822 1.90938e-07
1 20 1000 5 174.7348 232.6386 231.9872 3.571283e-07
1 20 1000 5 46.27122 120.2063 122.5926 7.380033e-07
1 20 1000 5 48.29223 122.181 124.5506 1.06529e-07
1 20 1000 5 57.10229 130.9633 133.2308 0.002803459
