## Sat Oct 30 14:10:38 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
3 20 1000 1 60.24173 134.0737 136.3444 6.401127e-05
3 20 1000 1 56.97341 130.8924 133.8307 3.463996e-06
3 20 1000 1 86.12643 159.4958 161.7155 3.098777e-06
3 20 1000 1 57.29575 131.1727 134.0509 0.001602356
3 20 1000 1 106.1188 179.2427 180.279 8.454413e-14
3 20 1000 1 92.37182 164.4533 166.1279 0.0001211333
3 20 1000 1 57.49935 131.3583 133.6719 0.3944696
3 20 1000 1 57.35081 131.2119 133.7743 1.240308e-06
3 20 1000 1 58.44211 132.3209 134.7139 1.711472e-07
3 20 1000 1 53.88542 127.8267 130.6768 6.144607e-08
3 20 1000 1 55.28934 129.1802 131.4921 0.5669955
3 20 1000 1 59.33333 133.1738 135.4161 0.004994796
3 20 1000 1 59.64527 133.5885 135.82 0.9130435
3 20 1000 1 57.66776 131.5115 133.7878 5.167731e-08
3 20 1000 1 60.23549 134.0199 136.5539 3.01424e-05
3 20 1000 1 60.28351 134.1511 137.1446 3.472491e-06
3 20 1000 1 55.56776 129.5027 132.1841 0.0001921231
3 20 1000 1 62.28223 135.3485 138.2158 0.2766265
3 20 1000 1 77.37697 150.2386 151.4693 2.05763e-06
3 20 1000 1 51.89263 125.8265 128.278 0.002274041
3 20 1000 1 52.89857 126.7915 129.197 0.002783788
3 20 1000 1 54.80794 128.6917 131.0205 6.251627e-07
3 20 1000 1 59.19768 133.1236 135.9107 1.137193e-06
3 20 1000 1 55.59356 129.4656 132.0916 1.981093e-05
3 20 1000 1 79.62073 149.3578 151.028 0.0004065156
3 20 1000 1 56.3465 130.1635 132.4338 0.002218955
3 20 1000 1 57.30237 131.2296 133.6198 0.004010075
3 20 1000 1 57.8768 131.8033 134.3214 3.474671e-07
3 20 1000 1 59.34142 132.955 135.3795 1.721407e-07
4 20 1000 1 407.9459 194.2057 185.2277 7.002854e-09
4 20 1000 1 2e+100 5911.451 341.7849 0.0002834258
4 20 1000 1 384.1485 213.4767 207.7994 0.536334
4 20 1000 1 397.6477 210.9366 207.186 4.820213e-10
4 20 1000 1 343.5043 214.0875 212.347 4.287686e-09
4 20 1000 1 4811.752 515.2231 271.8438 7.119033e-05
4 20 1000 1 308.4887 203.5663 199.0266 0.0006676503
4 20 1000 1 1557131 2e+100 422.8153 1.010439e-11
4 20 1000 1 873.1955 217.8369 214.883 0.003168831
4 20 1000 1 296.9954 194.3701 193.2747 7.394754e-07
4 20 1000 1 422.4601 211.296 207.3292 0.9307236
4 20 1000 1 334.8175 203.6717 200.3149 0.001246484
4 20 1000 1 10489.15 2478.55 299.6733 0.0007017377
4 20 1000 1 235.8157 186.7079 185.9873 0.939432
4 20 1000 1 1096.563 274.0123 247.4659 0.6909927
4 20 1000 1 525.9521 239.9742 232.868 0.0004419042
4 20 1000 1 405.3908 204.7309 200.9566 0.001446123
4 20 1000 1 893.7909 213.2843 204.3958 0.0001085421
4 20 1000 1 52232.77 33907.83 371.9488 0.02784379
4 20 1000 1 250.0453 207.5681 206.9956 1.866575e-10
4 20 1000 1 1902.586 341.9278 256.0827 1.364422e-05
4 20 1000 1 376.814 222.649 218.5308 0.00397095
4 20 1000 1 287.7748 211.4679 210.048 8.898434e-05
4 20 1000 1 266.2698 192.4579 191.8222 0.1808146
4 20 1000 1 167.162 183.924 183.6344 0.3196809
4 20 1000 1 414.2817 210.1211 207.1085 0.0196862
4 20 1000 1 319.8022 190.9678 189.6869 0.0006996107
4 20 1000 1 517.2851 223.5829 212.9798 2.689036e-12
4 20 1000 1 310.4671 209.7436 208.9471 0.005473488
4 20 1000 1 495.7867 223.8142 220.3367 0.1151574
4 20 1000 1 429.3221 206.4085 204.42 2.521988e-06
4 20 1000 1 490.232 197.3215 196.3661 0.01927783
4 20 1000 1 301.4004 211.1053 210.5407 0.000921143
4 20 1000 1 168.2045 182.7085 182.1957 1.339868e-11
4 20 1000 1 1321.246 241.8099 209.3318 3.038671e-08
4 20 1000 1 515.6486 207.4166 198.9156 0.0001299944
4 20 1000 1 247.7811 193.1825 192.2002 0.9991669
4 20 1000 1 19698.31 5582.46 308.0574 7.034162e-10
4 20 1000 1 246.4173 183.811 182.7348 4.38583e-08
4 20 1000 1 260.3599 196.3438 195.6749 3.861827e-06
4 20 1000 1 667.9097 198.9353 195.7809 0.200441
4 20 1000 1 344.4191 207.0345 201.8334 7.247111e-10
4 20 1000 1 672.9491 221.6054 219.8385 0.0007028122
4 20 1000 1 352.2705 214.1931 212.0554 0.0001969456
4 20 1000 1 391.4026 211.3491 209.0001 0.0004358646
4 20 1000 1 2591.657 331.411 238.8577 6.788225e-07
4 20 1000 1 204.7012 190.5871 189.0879 2.847376e-06
4 20 1000 1 18919.64 3008.855 306.8314 0.000332242
4 20 1000 1 4766.92 597.4192 275.0354 0.02969115
4 20 1000 1 233.068 186.5238 185.9497 4.041497e-08
4 20 1000 1 298.378 195.4671 194.9746 3.763771e-07
4 20 1000 1 307.082 197.1472 196.1734 5.770833e-07
4 20 1000 1 297.1108 201.226 200.5729 5.687794e-10
4 20 1000 1 324.3461 204.9407 198.3191 1.762376e-06
4 20 1000 1 378.5711 195.7691 193.9536 3.969439e-09
4 20 1000 1 307.4167 197.7646 195.655 1.773322e-07
4 20 1000 1 334.8044 197.5176 197.0004 0.01938754
4 20 1000 1 251.9086 194.2309 193.1345 0.0001356503
4 20 1000 1 278.7975 192.2105 190.6608 0.0003244126
4 20 1000 1 328.5915 212.7543 207.9445 7.458992e-08
